house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
"2 BHK Flat for Rent in Aanjay Apartment, Baner, Pune",Baner,Pune,780.0,2,2,2,Unfurnished,41.0,32000.0
1 BHK House for Rent in West Punjabi Bagh New Delhi,Punjabi Bagh West,New Delhi,700.0,1,1,0,Furnished,17.0,12000.0
"1 BHK Flat for Rent in Hema Park, Bhandup East, Mumbai",Bhandup East,Mumbai,560.0,1,1,0,Unfurnished,54.0,30000.0
"3 BHK Flat for Rent in Siddhi Apartment, Kandivali East, Mumbai",Kandivali East,Mumbai,1200.0,3,3,0,Furnished,54.0,65000.0
3 BHK House for Rent in Kaval Bairasandra Bangalore,Kaval Byrasandra,Bangalore,1280.0,3,3,0,Semi-Furnished,18.0,23000.0
"2 BHK Flat for Rent in Optimus, Viman Nagar, Pune",Viman Nagar Central,Pune,800.0,2,2,0,Furnished,53.0,42000.0
"4 BHK Flat for Rent in Omkar Alta Monte, Malad East, Mumbai",Malad East,Mumbai,3918.0,4,6,4,Semi-Furnished,51.0,200000.0
"4 BHK Flat for Rent in Shanti Niketan, New Delhi",Shanti Niketan,New Delhi,2700.0,4,3,2,Furnished,148.0,400000.0
"3 BHK Flat for Rent in Dwarka Apartment, Sector 7 Dwarka, New Delhi",Sector 7 Dwarka,New Delhi,1850.0,3,2,3,Semi-Furnished,19.0,36000.0
"1 BHK Flat for Rent in Sector 7 Dwarka, New Delhi",Sector 7 Dwarka,New Delhi,495.0,1,1,0,Semi-Furnished,29.0,14500.0
"1 BHK Flat for Rent in Laxmi Bai Nagar, New Delhi",Laxmi Bai Nagar,New Delhi,356.0,1,1,0,Semi-Furnished,56.0,20000.0
"3 BHK Flat for Rent in Shivaji Nagar, Nagpur",Shivaji Nagar,Nagpur,1300.0,3,2,3,Semi-Furnished,31.0,40000.0
1 BHK House for Rent in Moshi High Street Pune,Moshi High Street,Pune,400.0,1,1,0,Unfurnished,38.0,15000.0
"3 BHK Flat for Rent in Phase 2 Electronic City, Bangalore",Electronic City Phase 2,Bangalore,1650.0,3,3,2,Furnished,33.0,55000.0
"2 BHK Flat for Rent in Shree Sai Usha Complex, Bhandup West, Mumbai",Bhandup West,Mumbai,750.0,2,2,0,Furnished,43.0,32000.0
"3 BHK Flat for Rent in Monte South, Byculla, Mumbai",Byculla,Mumbai,1080.0,3,3,0,Unfurnished,139.0,150000.0
1 BHK House for Rent in Manjari BK Pune,Manjri Budruk,Pune,550.0,1,1,0,Unfurnished,11.0,6000.0
"2 BHK Flat for Rent in Laxmi Nagar, New Delhi",Laxmi Nagar,New Delhi,900.0,2,2,0,Semi-Furnished,16.0,14000.0
"2 BHK Flat for Rent in Chattarpur, New Delhi",Chhattarpur,New Delhi,850.0,2,2,0,Semi-Furnished,21.0,18000.0
"4 BHK Flat for Rent in Koramangala, Bangalore",Koramangala,Bangalore,1800.0,4,5,0,Semi-Furnished,83.0,150000.0
"2 BHK Flat for Rent in Bhakti Park, Wadala, Mumbai",Wadala,Mumbai,710.0,2,2,0,Unfurnished,92.0,65000.0
"2 BHK Flat for Rent in Eden Garden, Tathawade Pimpri Chinchwad, Pune",Tathawade,Pune,851.0,2,2,3,Semi-Furnished,35.0,30000.0
2 BHK House for Rent in Kabool Nagar New Delhi,Kabool Nagar,New Delhi,565.0,2,1,0,Unfurnished,18.0,10000.0
5 BHK House for Rent in Hulimavu Bangalore,Hulimavu,Bangalore,3832.0,5,5,0,Semi-Furnished,29.0,110000.0
"2 BHK Flat for Rent in Kanungo Apartments, IP Extension, New Delhi",IP Extension,New Delhi,1125.0,2,2,2,Semi-Furnished,31.0,35000.0
"1 BHK Flat for Rent in Ashok Nagar Kandivali East, Mumbai",Ashok Nagar Kandivali East,Mumbai,400.0,1,2,0,Unfurnished,42.0,17000.0
"5 BHK Flat for Rent in Greater Kailash 1, New Delhi",GK I,New Delhi,5000.0,5,5,3,Semi-Furnished,90.0,450000.0
2 BHK House for Rent in Bagaluru Bangalore,Bagaluru,Bangalore,1100.0,2,2,0,Semi-Furnished,15.0,17000.0
"3 BHK Flat for Rent in Oberoi Sky City, Borivali East, Mumbai",Borivali East,Mumbai,1073.0,3,3,0,Semi-Furnished,93.0,100000.0
"3 BHK Flat for Rent in Yeswanthpur, Bangalore",Yeswanthpur,Bangalore,1480.0,3,3,2,Semi-Furnished,47.0,70000.0
"4 BHK Flat for Rent in Worli, Mumbai",Worli,Mumbai,1600.0,4,4,0,Furnished,281.0,450000.0
"3 BHK Flat for Rent in Block 5th Koramangala, Bangalore",Block 5th Koramangala,Bangalore,1620.0,3,3,2,Semi-Furnished,31.0,50000.0
"2 BHK Flat for Rent in Hulimavu, Bangalore",Hulimavu,Bangalore,770.0,2,2,0,Semi-Furnished,39.0,30000.0
2 BHK House for Rent in Ghitorni New Delhi,Ghitorni,New Delhi,650.0,2,2,0,Unfurnished,15.0,10000.0
"1 BHK Flat for Rent in Sai Society, Narhe, Pune",Narhe,Pune,350.0,1,1,0,Furnished,23.0,8000.0
"3 BHK Flat for Rent in Garud Heritage, Aundh, Pune",Aundh,Pune,1250.0,3,3,0,Furnished,44.0,55000.0
"2 BHK Flat for Rent in Maxx Glory, Manish Nagar, Nagpur",Manish Nagar,Nagpur,810.0,2,2,2,Semi-Furnished,25.0,20000.0
"1 BHK Flat for Rent in Amravati Road, Nagpur",Amravati Road,Nagpur,600.0,1,1,0,Furnished,28.0,16500.0
1 BHK House for Rent in Ayyappa Nagar Krishnarajapura Bangalore,Ayappa Nagar KR Puram,Bangalore,700.0,1,1,0,Unfurnished,19.0,13500.0
"4 BHK Flat for Rent in Viveka Nagar, Bangalore",Viveka Nagar,Bangalore,2500.0,4,4,4,Unfurnished,24.0,60000.0
"4 BHK Flat for Rent in HAL Old Airport Road, Bangalore",HAL Old Airport Road,Bangalore,3470.0,4,4,4,Semi-Furnished,58.0,200000.0
2 BHK House for Rent in Wagholi Pune,Wagholi,Pune,1210.0,2,2,0,Unfurnished,14.0,17000.0
"2 BHK Flat for Rent in Kesar Valley, Patilnagar Chikhali, Pune",Patilnagar Chikhali,Pune,822.0,2,2,0,Semi-Furnished,16.0,13000.0
"2 BHK House for Rent in Mate Nagar, Vadgaonsheri Pune",Mate Nagar,Pune,800.0,2,1,0,Unfurnished,25.0,20000.0
"3 BHK Flat for Rent in Chembur, Mumbai",Chembur,Mumbai,1200.0,3,3,0,Semi-Furnished,96.0,120000.0
"2 BHK Flat for Rent in Doddathoguru, Electronic City, Bangalore",Doddathoguru,Bangalore,912.0,2,2,0,Semi-Furnished,22.0,20000.0
"1 BHK Flat for Rent in Pratik Nagar Mohanwadi, Pune",Pratik Nagar Mohanwadi,Pune,1050.0,1,2,2,Unfurnished,16.0,17000.0
"2 BHK Flat for Rent in BDA Layout HSR Layout, Bangalore",BDA layout-HSR Layout,Bangalore,1200.0,2,2,2,Semi-Furnished,29.0,35000.0
"2 BHK Flat for Rent in Nageshwar Vihar , Chakan, Pune",Chakan,Pune,750.0,2,2,2,Furnished,20.0,15000.0
"3 BHK Flat for Rent in T Dasarahalli, Bangalore",T Dasarahalli,Bangalore,1173.0,3,2,0,Semi-Furnished,36.0,42000.0
"1 BHK Flat for Rent in Sector 34 Rohini, New Delhi",Sector 34 Rohini,New Delhi,297.0,1,1,0,Furnished,17.0,5000.0
2 BHK House for Rent in Margondanahalli Bangalore,Margondanahalli,Bangalore,600.0,2,1,0,Semi-Furnished,11.0,6500.0
"2 BHK Flat for Rent in Eiffel City Phase II, Chakan, Pune",Chakan,Pune,920.0,2,2,0,Furnished,17.0,15500.0
"1 BHK Flat for Rent in Ghatkopar East, Mumbai",Ghatkopar East,Mumbai,480.0,1,1,3,Unfurnished,33.0,16000.0
2 BHK House for Rent in Krishnarajapura Bangalore,KR Puram,Bangalore,700.0,2,2,0,Semi-Furnished,29.0,20500.0
"1 BHK Flat for Rent in Mulund West, Mumbai",Mulund West,Mumbai,419.0,1,1,0,Semi-Furnished,64.0,27000.0
"3 BHK Flat for Rent in Runwal Greens, Mulund West, Mumbai",Mulund West,Mumbai,1382.0,3,4,4,Unfurnished,116.0,160000.0
3 BHK Villa for Rent in Whitefield Bangalore,Whitefield,Bangalore,2200.0,3,3,0,Semi-Furnished,41.0,90000.0
"3 BHK Flat for Rent in Sathanur, Bangalore",Sathanur,Bangalore,1431.0,3,3,0,Furnished,34.0,48000.0
"3 BHK Flat for Rent in 1st Block Rajajinagar, Bangalore",Rajaji Nagar Block 1,Bangalore,1700.0,3,3,3,Semi-Furnished,42.0,72000.0
"1 BHK Flat for Rent in Wadgaon Sheri, Pune",Wadgaon Sheri,Pune,550.0,1,1,0,Semi-Furnished,27.0,15000.0
"2 BHK Flat for Rent in Deep Residency, Parel, Mumbai",Parel,Mumbai,850.0,2,2,0,Furnished,76.0,65000.0
"2 BHK Flat for Rent in Wakad, Pune",Wakad,Pune,910.0,2,2,2,Unfurnished,33.0,30000.0
1 BHK House for Rent in Bahadura Nagpur,Bahadura,Nagpur,750.0,1,1,0,Unfurnished,13.0,10000.0
"1 BHK Flat for Rent in Khadakwasla, Pune",Khadakwasla,Pune,500.0,1,1,0,Unfurnished,14.0,7000.0
"3 BHK Flat for Rent in Runwal Forests, Kanjurmarg West, Mumbai",Kanjurmarg West,Mumbai,1230.0,3,3,0,Semi-Furnished,68.0,84000.0
"3 BHK Flat for Rent in Vardhman Moonstone, Tathawade Pimpri Chinchwad, Pune",Tathawade,Pune,960.0,3,2,3,Semi-Furnished,36.0,35000.0
"1 BHK Flat for Rent in Ambazari, Nagpur",Ambazari,Nagpur,1000.0,1,1,0,Semi-Furnished,12.0,12000.0
2 BHK House for Rent in Yelahanka New Town Bangalore,Yelahanka New Town,Bangalore,900.0,2,2,0,Semi-Furnished,26.0,23000.0
"3 BHK Flat for Rent in Kohinoor City Phase 2, Kurla West, Mumbai",Kurla West,Mumbai,1452.0,3,3,3,Semi-Furnished,55.0,80000.0
"1 BHK Flat for Rent in Kurla, Mumbai",Kurla,Mumbai,575.0,1,1,0,Unfurnished,52.0,30000.0
"3 BHK Flat for Rent in Kharadi, Pune",Kharadi,Pune,1840.0,3,4,0,Unfurnished,76.0,140000.0
"3 BHK Flat for Rent in Karol Bagh, New Delhi",Karol Bagh,New Delhi,1925.0,3,4,0,Semi-Furnished,52.0,100000.0
"3 BHK Flat for Rent in Defence Colony, New Delhi",Defence Colony,New Delhi,1850.0,3,3,2,Unfurnished,135.0,250000.0
"2 BHK Flat for Rent in Bharat Vihar Dwarka, New Delhi",Bharat Vihar,New Delhi,610.0,2,1,0,Semi-Furnished,18.0,11000.0
"2 BHK Flat for Rent in Kolte Patil Life Republic Sector R16 16th Avenue Arezo F Building, Punawale, Pimpri Chinchwad, Pune",Punawale,Pune,802.0,2,2,2,Semi-Furnished,29.0,23000.0
"1 BHK Flat for Rent in Vishrantwadi, Airport Road, Pune",Vishrantwadi,Pune,485.0,1,1,0,Unfurnished,25.0,12000.0
2 BHK House for Rent in Aya Nagar New Delhi,Aya Nagar,New Delhi,600.0,2,1,0,Unfurnished,8.0,4500.0
"1 BHK Flat for Rent in Tumkur Road, Bangalore",Tumkur Road,Bangalore,422.0,1,1,0,Furnished,59.0,25000.0
"3 BHK Flat for Rent in Saket, New Delhi",Saket,New Delhi,2200.0,3,3,0,Furnished,27.0,60000.0
"3 BHK Flat for Rent in Hauz Khas Enclave, Hauz Khas, New Delhi",Hauz Khas Enclave,New Delhi,2250.0,3,3,3,Semi-Furnished,53.333333333333336,120000.0
"3 BHK Flat for Rent in Hrbr Layout, Kalyan Nagar, Outer Ring Road, Bangalore",HRBR Layout,Bangalore,2350.0,3,2,0,Semi-Furnished,34.0,79000.0
"2 BHK House for Rent in Tingre Apartment , Tingre Nagar Pune",Tingre Nagar,Pune,740.0,2,2,2,Semi-Furnished,21.0,15500.0
"2 BHK Flat for Rent in Arc Vista Phase 2, Dhanori, Pune",Dhanori,Pune,800.0,2,2,2,Unfurnished,28.0,22000.0
"2 BHK Flat for Rent in Thakur Complex, Thakur Complex, Mumbai",Thakur Complex,Mumbai,550.0,2,2,0,Semi-Furnished,82.0,45000.0
"4 BHK Flat for Rent in Bengaluru Main Road, Bangalore",Bengaluru Main Road,Bangalore,2400.0,4,3,0,Semi-Furnished,17.0,40000.0
2 BHK Villa for Rent in Narendra Nagar Nagpur,Narendra Nagar,Nagpur,1200.0,2,2,3,Unfurnished,9.0,11000.0
"2 BHK Flat for Rent in Panathur, Bangalore",Panathur,Bangalore,730.0,2,2,0,Unfurnished,55.0,40000.0
"1 BHK Flat for Rent in Rustam Bagh Layout, Bangalore",Rustam Bagh Layout,Bangalore,500.0,1,1,0,Furnished,50.0,25000.0
"3 BHK Flat for Rent in L&T Crescent Bay, Parel, Mumbai",Parel,Mumbai,1800.0,3,4,0,Semi-Furnished,144.0,260000.0
"1 BHK Flat for Rent in Lower Parel, Mumbai",Lower Parel,Mumbai,350.0,1,1,0,Furnished,31.0,11000.0
"1 BHK Flat for Rent in Poonam Nagar Jogeshwari East, Mumbai",Poonam Nagar Jogeshwari East,Mumbai,365.0,1,1,0,Semi-Furnished,77.0,28000.0
"2 BHK Flat for Rent in Teen Batti, Mumbai",Teen Batti,Mumbai,750.0,2,2,0,Semi-Furnished,167.0,130000.0
"2 BHK Flat for Rent in Sector A6 Narela, New Delhi",Sector A6 Narela,New Delhi,300.0,2,1,0,Furnished,40.0,12000.0
"1 BHK Flat for Rent in Janakpuri, New Delhi",Janakpuri,New Delhi,510.0,1,1,0,Furnished,43.0,22000.0
3 BHK House for Rent in Mandakini Enclave Colony New Delhi,Mandakini Enclave,New Delhi,350.0,3,3,0,Unfurnished,229.0,80000.0
"2 BHK House for Rent in Domlur, Domlur Bangalore",Domlur,Bangalore,1200.0,2,2,0,Unfurnished,15.0,18000.0
"2 BHK Flat for Rent in Chikkanna Layout, Bangalore",Chikkanna Layout,Bangalore,1359.0,2,2,2,Semi-Furnished,35.0,47000.0
"2 BHK Flat for Rent in Suraj Apartments, Vishwakarma Colony, Mehrauli Badarpur Road, New Delhi",Vishwakarma Colony,New Delhi,950.0,2,1,0,Unfurnished,19.0,18000.0
"2 BHK Flat for Rent in Ashok Gardens, Sewri, Mumbai",Sewri,Mumbai,780.0,2,2,0,Furnished,186.0,150000.0
2 BHK Villa for Rent in Vasanth Vihar AWHO Bangalore,Vasanth Vihar AWHO,Bangalore,1300.0,2,2,0,Semi-Furnished,23.0,30000.0
"2 BHK Flat for Rent in VP Sera Bella, Tathawade Pimpri Chinchwad, Pune",Tathawade,Pune,1520.0,2,1,0,Unfurnished,13.0,20000.0
"2 BHK Flat for Rent in Chikkabanavara, Bangalore",Chikkabanavara,Bangalore,970.0,2,2,0,Unfurnished,26.0,25000.0
"3 BHK Flat for Rent in Chunabhatti, Mumbai",Chunabhatti,Mumbai,1100.0,3,2,0,Furnished,96.0,110000.0
"1 BHK Flat for Rent in Mahavir Enclave, New Delhi",Mahavir Enclave,New Delhi,330.0,1,1,0,Unfurnished,24.0,8000.0
"2 BHK Flat for Rent in Kodigenahalli, Bangalore",Kodigenahalli,Bangalore,1000.0,2,2,0,Semi-Furnished,20.0,20000.0
"4 BHK Flat for Rent in Panchshil Towers, Kharadi, Pune",Kharadi,Pune,3150.0,4,5,2,Semi-Furnished,44.0,140000.0
"3 BHK Flat for Rent in Hulimavu, Bangalore",Hulimavu,Bangalore,1450.0,3,2,0,Unfurnished,17.0,25000.0
"1 BHK Flat for Rent in Magarpatta City Zinnia, Hadapsar, Pune",Hadapsar,Pune,435.0,1,1,0,Unfurnished,46.0,20000.0
"1 BHK Flat for Rent in Koramangala, Bangalore",Koramangala,Bangalore,1200.0,1,1,0,Semi-Furnished,15.0,18000.0
"2 BHK Flat for Rent in Tilak Nagar, New Delhi",Tilak Nagar,New Delhi,892.0,2,2,2,Unfurnished,25.0,22000.0
"3 BHK Flat for Rent in Domlur, Domlur, Bangalore",Domlur,Bangalore,1800.0,3,3,2,Furnished,36.0,65000.0
4 BHK House for Rent in Bhyraveshwara Nagar Govindaraja Nagar Ward Bangalore,Bhyraveshwara Nagar,Bangalore,950.0,4,4,0,Unfurnished,37.0,35000.0
4 BHK House for Rent in Ram Krishna Nagar Nagpur,Ram Krishna Nagar,Nagpur,2100.0,4,3,4,Semi-Furnished,29.0,60000.0
"2 BHK Flat for Rent in Katraj, Pune",Katraj,Pune,800.0,2,1,0,Unfurnished,12.0,10000.0
4 BHK House for Rent in Bindapur New Delhi,Bindapur,New Delhi,1350.0,4,2,2,Semi-Furnished,11.0,15000.0
"3 BHK Flat for Rent in Jogeshwari East, Mumbai",Jogeshwari East,Mumbai,987.0,3,2,0,Semi-Furnished,111.0,110000.0
"4 BHK Flat for Rent in Nagasandra Main Road, Bangalore",Nagasandra Main Road,Bangalore,2150.0,4,4,2,Semi-Furnished,33.0,71000.0
"4 BHK Flat for Rent in NRI Colony, New Delhi",Greater Kailash 4 NRI Colony,New Delhi,2864.0,4,4,0,Semi-Furnished,59.0,170000.0
"4 BHK Flat for Rent in Eon Waterfront, Kharadi, Pune",Kharadi,Pune,3000.0,4,4,2,Unfurnished,33.0,100000.0
"1 BHK House for Rent in Kamakshipalya, Outer Ring Road Bangalore",Kamakshipalya,Bangalore,600.0,1,1,0,Semi-Furnished,8.0,5000.0
"2 BHK Flat for Rent in Jogeshwari Vikhroli Link Road, Mumbai",Jogeshwari Vikhroli Link Road,Mumbai,510.0,2,2,0,Unfurnished,108.0,55000.0
"1 BHK Flat for Rent in Andheri, Andheri East, Mumbai",Andheri East,Mumbai,450.0,1,1,0,Furnished,100.0,45000.0
"2 BHK Flat for Rent in Aapla Ghar Sanaswadi, Sanaswadi, Pune",Sanaswadi,Pune,300.0,2,2,2,Unfurnished,17.0,5000.0
"2 BHK Flat for Rent in Satya Niketan, Moti Bagh, New Delhi",Satya Niketan,New Delhi,1575.0,2,1,0,Furnished,27.33333333333333,43000.0
"2 BHK Flat for Rent in Nallurhalli, Whitefield, Borewell Road, Bangalore",Nallurhalli,Bangalore,1260.0,2,2,0,Semi-Furnished,28.0,35000.0
"4 BHK Flat for Rent in Sarjapur Road, Bangalore",Sarjapur Road,Bangalore,1562.0,4,4,2,Semi-Furnished,65.0,100000.0
"1 BHK Flat for Rent in Matunga West, Mumbai",Matunga West,Mumbai,500.0,1,1,0,Furnished,50.0,25000.0
"3 BHK Flat for Rent in Yeswanthpur, Bangalore",Yeswanthpur,Bangalore,1800.0,3,3,0,Unfurnished,27.0,48000.0
2 BHK House for Rent in Nagdevanahalli Bangalore,Nagdevanahalli,Bangalore,850.0,2,2,0,Unfurnished,18.0,15000.0
"3 BHK Flat for Rent in Ganga Acropolis, Baner, Pune",Baner,Pune,1280.0,3,3,2,Semi-Furnished,36.0,45800.0
"3 BHK Flat for Rent in Huvinayakanahalli, Bangalore",Huvinayakanahalli,Bangalore,1043.0,3,2,0,Semi-Furnished,24.0,25000.0
1 BHK House for Rent in Kadubeesanahalli Bangalore,Kadubeesanahalli,Bangalore,550.0,1,1,0,Furnished,40.0,22000.0
4 BHK Villa for Rent in Marathahalli Bangalore,Marathahalli,Bangalore,4124.0,4,4,0,Semi-Furnished,42.0,180000.0
"3 BHK Flat for Rent in India Bulls Sky Forest, Lower Parel, Mumbai",Lower Parel,Mumbai,2031.0,3,3,2,Semi-Furnished,172.0,350000.0
"3 BHK Flat for Rent in Oberoi Gardens, Kandivali East, Mumbai",Kandivali East,Mumbai,1295.0,3,3,0,Semi-Furnished,62.0,80000.0
"2 BHK Flat for Rent in Govind Enclave, Dabha, Nagpur",Dabha,Nagpur,1100.0,2,2,2,Semi-Furnished,16.0,18000.0
"3 BHK Flat for Rent in Lullanagar, Pune",Lulla Nagar,Pune,1600.0,3,3,0,Semi-Furnished,28.0,45000.0
"2 BHK Flat for Rent in Arc Gaurav, Pisoli, Pune",Pisoli,Pune,700.0,2,2,0,Semi-Furnished,21.0,15000.0
"3 BHK Flat for Rent in Prime Audumbar, Dahisar, Mumbai",Dahisar,Mumbai,800.0,3,2,0,Unfurnished,69.0,55000.0
"1 BHK Flat for Rent in Swadesi Mill Apartment, Chunabhatti, Mumbai",Chunabhatti,Mumbai,800.0,1,1,0,Unfurnished,19.0,15000.0
3 BHK Villa for Rent in V Kallahalli Bangalore,V Kallahalli,Bangalore,1662.0,3,3,0,Furnished,27.0,45000.0
"2 BHK Flat for Rent in Green Field Building, Mahim, Mumbai",Mahim,Mumbai,700.0,2,2,0,Semi-Furnished,129.0,90000.0
1 BHK House for Rent in Katraj Pune,Katraj,Pune,500.0,1,1,0,Semi-Furnished,15.0,7500.0
"1 BHK Flat for Rent in Prabhadevi, Mumbai",Prabhadevi,Mumbai,450.0,1,1,2,Semi-Furnished,133.0,60000.0
7 BHK House for Rent in Block E Greater Kailash 2 New Delhi,Greater Kailash 2 E Block,New Delhi,2250.0,7,8,4,Semi-Furnished,133.0,300000.0
"3 BHK Flat for Rent in Silicon Bay, Wadgaon Sheri, Pune",Wadgaon Sheri,Pune,1350.0,3,3,3,Unfurnished,41.0,55000.0
"2 BHK Flat for Rent in Acropolis Purple Nine Hills, Mohamadwadi Settlement, Pune",Mohamadwadi Settlement,Pune,950.0,2,2,0,Semi-Furnished,32.0,30000.0
"4 BHK Flat for Rent in Block B Rajouri Garden, New Delhi",Block B Rajouri Garden,New Delhi,2500.0,4,4,4,Semi-Furnished,34.0,85000.0
"2 BHK Flat for Rent in Pimpri Chinchwad, Pune",Pimpri Chinchwad,Pune,900.0,2,2,0,Semi-Furnished,17.0,15000.0
"2 BHK Flat for Rent in GK Aarcon, Punawale, Pimpri Chinchwad, Pune",Punawale,Pune,943.0,2,2,0,Furnished,28.0,26000.0
"2 BHK Flat for Rent in Subhash Nagar, New Delhi",Subhash Nagar,New Delhi,810.0,2,2,0,Semi-Furnished,34.55555555555556,28000.0
"2 BHK Flat for Rent in Ganesh Peth, Pune",Ganesh Peth,Pune,1200.0,2,1,0,Semi-Furnished,21.0,25000.0
"1 BHK House for Rent in Vipin Garden, Nawada New Delhi",Vipin Garden,New Delhi,450.0,1,1,0,Unfurnished,17.0,7500.0
"2 BHK Flat for Rent in Rajaveer Palace Phase I, Pimple Saudagar, Pimpri Chinchwad, Pune",Pimple Saudagar,Pune,900.0,2,2,0,Furnished,39.0,35000.0
"1 BHK Flat for Rent in Hadapsar, Pune",Hadapsar,Pune,450.0,1,1,0,Unfurnished,27.0,12000.0
"1 BHK Flat for Rent in Savitri Niwas, Dhayari, Pune",Dhayari,Pune,400.0,1,1,0,Unfurnished,18.0,7000.0
"2 BHK Flat for Rent in Burari, New Delhi",Burari,New Delhi,495.0,2,2,0,Semi-Furnished,20.0,10000.0
"4 BHK Flat for Rent in Stage 2 RMV, Bangalore",RMV Extension Stage 2,Bangalore,2000.0,4,3,0,Furnished,38.0,75000.0
"3 BHK Flat for Rent in Koramangala, Bangalore",Koramangala,Bangalore,1100.0,3,3,0,Furnished,182.0,200000.0
"4 BHK Flat for Rent in Gulmohar Park, New Delhi",Gulmohar Park,New Delhi,2500.0,4,4,4,Semi-Furnished,90.0,230000.0
"5 BHK Villa for Rent in Prozone Palms, Swavlambi Nagar Nagpur",Swavlambi Nagar,Nagpur,2800.0,5,5,3,Furnished,29.0,80000.0
"3 BHK Flat for Rent in Lunkad Queensland, Viman Nagar, Pune",Viman Nagar Central,Pune,1200.0,3,2,2,Unfurnished,41.0,49000.0
"3 BHK Flat for Rent in Outer Ring Road, Bangalore",Ring Road,Bangalore,1500.0,3,3,2,Unfurnished,40.0,60000.0
"2 BHK Flat for Rent in Shree Anand Venkateshwara Royal Court, Thergaon, Pimpri Chinchwad, Pune",Thergaon,Pune,750.0,2,2,3,Semi-Furnished,27.0,20000.0
"2 BHK Flat for Rent in Amanora Trendy Homes, Hadapsar, Pune",Hadapsar,Pune,700.0,2,2,2,Unfurnished,39.0,27000.0
1 BHK House for Rent in Tingre Nagar Pune,Tingre Nagar,Pune,350.0,1,1,0,Unfurnished,17.0,6000.0
"2 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bangalore,965.0,2,2,2,Semi-Furnished,33.0,32000.0
2 BHK House for Rent in Lokhandwala Complex Andheri West Mumbai,Lokhandwala Complex Andheri West,Mumbai,600.0,2,1,0,Semi-Furnished,48.0,29000.0
"2 BHK Flat for Rent in Pandey Layout, Nagpur",Pandey Layout,Nagpur,700.0,2,1,0,Unfurnished,15.0,10700.0
4 BHK Villa for Rent in Hennur Main Road Bangalore,Hennur Main Road,Bangalore,2900.0,4,5,3,Semi-Furnished,45.0,130000.0
"2 BHK Flat for Rent in Kharadi, Pune",Kharadi,Pune,850.0,2,2,0,Unfurnished,36.0,31000.0
"3 BHK Flat for Rent in Garden Apartments, Chembur, Mumbai",Chembur,Mumbai,900.0,3,3,0,Semi-Furnished,100.0,90000.0
"3 BHK Flat for Rent in Borgaon, Nagpur",Borgaon,Nagpur,12.0,3,2,2,Semi-Furnished,11.0,15000.0
"4 BHK Flat for Rent in Bandra West, Mumbai",Bandra West,Mumbai,1900.0,4,4,2,Semi-Furnished,224.0,430000.0
3 BHK House for Rent in Rajouri Garden New Delhi,Rajouri Garden,New Delhi,1440.0,3,3,0,Unfurnished,31.0,45000.0
"2 BHK Flat for Rent in Gandhi Nagar Upper Worli, Mumbai",Gandhi Nagar Upper Worli,Mumbai,1000.0,2,2,2,Semi-Furnished,100.0,100000.0
"2 BHK House for Rent in Hosa Road, off Hosur Road Bangalore",Hosa Road,Bangalore,900.0,2,2,0,Semi-Furnished,18.0,16500.0
"3 BHK Flat for Rent in Tagore Garden, Rajouri Garden, Najafgarh Road, New Delhi",Tagore Garden,New Delhi,1600.0,3,3,2,Furnished,38.0,60000.0
"3 BHK Flat for Rent in Pitam Pura, New Delhi",Pitampura,New Delhi,900.0,3,2,0,Unfurnished,28.0,25000.0
"1 BHK Flat for Rent in Aishwarya Aangan, Chakan, Pune",Chakan,Pune,500.0,1,1,0,Unfurnished,17.0,8500.0
"2 BHK Flat for Rent in Janakpuri, New Delhi",Janakpuri,New Delhi,1035.0,2,2,0,Semi-Furnished,22.22222222222222,23000.0
"1 BHK Flat for Rent in Yamuna Vihar, New Delhi",Yamuna Vihar,New Delhi,713.0,1,2,2,Furnished,9.0,6400.0
"3 BHK Flat for Rent in Aya Nagar, New Delhi",Aya Nagar,New Delhi,1350.0,3,3,0,Semi-Furnished,24.0,32000.0
"5 BHK Flat for Rent in Rustomjee Crown, Prabhadevi, Mumbai",Prabhadevi,Mumbai,3030.0,5,6,0,Semi-Furnished,198.0,600000.0
"3 BHK Flat for Rent in Raheja Ridgewood, Goregaon East, Mumbai",Goregaon East,Mumbai,1100.0,3,3,0,Semi-Furnished,84.0,92000.0
"2 BHK Flat for Rent in New Ashok Nagar, New Delhi",New Ashok Nagar,New Delhi,800.0,2,2,0,Semi-Furnished,22.0,18000.0
1 BHK House for Rent in Aditya Nagar JP Nagar Bangalore,Aditya nagar,Bangalore,2100.0,1,3,3,Semi-Furnished,17.0,35000.0
"1 BHK Flat for Rent in Vasant Kunj, New Delhi",Vasant Kunj,New Delhi,360.0,1,2,0,Furnished,83.0,30000.0
2 BHK House for Rent in Ashram New Delhi,Ashram,New Delhi,630.0,2,1,0,Furnished,39.66666666666666,25000.0
"2 BHK Flat for Rent in Chembur, Mumbai",Chembur,Mumbai,650.0,2,2,0,Furnished,85.0,55000.0
"3 BHK House for Rent in Kashi Bhavan Building, Vile Parle East Mumbai",Vile Parle East,Mumbai,1600.0,3,3,0,Unfurnished,94.0,150000.0
"2 BHK Flat for Rent in Keshav Puram Tri Nagar, New Delhi",Keshav Puram,New Delhi,500.0,2,2,0,Semi-Furnished,34.0,17000.0
